Import/Export Price Indexes,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,EIUIR,,,,,,,,,,,
Series Title:,"Monthly import price index for BEA End Use, All commodities, not seasonally adjusted",,,,,,,,,,,
Index Type:,BEA End Use Import Indexes,,,,,,,,,,,
Item:,All commodities,,,,,,,,,,,
Base Period:,2000=100,,,,,,,,,,,
Years:,2012 to 2022,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2012,142.2,142.2,144.2,144.1,142.0,138.7,137.7,139.4,140.8,141.2,140.2,139.4
2013,140.1,141.3,141.2,140.2,139.4,138.8,138.9,139.4,139.8,138.9,137.7,137.8
2014,138.3,139.8,140.5,139.7,140.1,140.5,140.1,139.0,137.9,136.0,133.5,130.1
2015,126.0,125.5,125.3,125.1,126.5,126.6,125.4,123.2,121.9,121.5,120.8,119.3
2016,117.8,117.2,117.7,118.5,119.9,120.7,120.8,120.5,120.6,121.2,121.1,121.6
2017,122.3,122.7,122.5,122.8,122.7,122.4,122.2,122.9,123.9,124.1,125.3,125.5
2018,126.5,126.8,126.5,127.1,128.2,128.2,128.1,127.6,127.7,128.3,126.2,124.4
2019,124.6,125.9,126.6,126.8,127.0,125.6,125.6,124.9,125.0,124.5,124.7,125.0
2020,125.2,124.3,121.3,118.2,119.0,120.6,122.1,123.2,123.4,123.3,123.4,124.6
2021,126.5,128.0,129.9,131.1,132.8,134.2,134.6,134.3,134.9,136.9,137.9,137.4
2022,140.1,142.6,146.8,147.5,148.2,148.5,146.3,144.8,,,,
