,,,,,,,,
,,,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,,,
Daily,,,,,,,,
WeekendWeeklyMonthlyQuarterlyYearlySeasonsHolidays,,,,,,,,
Daily Box Office For 2021,,,,,,,,
Year,,,,,,,,
,,,,,,,,
2021,,,,,,,,
"Data as of Jul 5, 1:33 PDT",,,,,,,,
Date,Day,Day #,Top 10 Gross,%± YD,%± LW,Releases,#1 Release,Gross
31-Dec,Friday,365,"$27,601,787 ",846.90%,-17.40%,25,Spider-Man: No Way Home,"$15,407,695 "
New Year's Eve,,,,,,,,
30-Dec,Thursday,364,"$35,021,475 ",2.70%,-22.20%,26,Spider-Man: No Way Home,"$20,717,908 "
29-Dec,Wednesday,363,"$34,092,399 ",-5.60%,-27.80%,26,Spider-Man: No Way Home,"$20,327,774 "
28-Dec,Tuesday,362,"$36,104,760 ",-7.90%,1.40%,25,Spider-Man: No Way Home,"$21,346,817 "
27-Dec,Monday,361,"$39,209,841 ",-25.90%,-4.10%,25,Spider-Man: No Way Home,"$24,770,593 "
26-Dec,Sunday,360,"$52,943,454 ",-6.30%,-25%,27,Spider-Man: No Way Home,"$33,283,250 "
25-Dec,Saturday,359,"$56,478,703 ",81.70%,-31.20%,26,Spider-Man: No Way Home,"$31,609,749 "
Christmas Day,,,,,,,,
24-Dec,Friday,358,"$31,087,749 ",-30.90%,-75.70%,24,Spider-Man: No Way Home,"$19,655,506 "
23-Dec,Thursday,357,"$45,018,844 ",-4.70%,1609.30%,28,Spider-Man: No Way Home,"$29,333,622 "
22-Dec,Wednesday,356,"$47,249,638 ",32.70%,1217.30%,29,Spider-Man: No Way Home,"$27,846,311 "
21-Dec,Tuesday,355,"$35,610,501 ",-12.90%,694.40%,26,Spider-Man: No Way Home,"$31,408,657 "
20-Dec,Monday,354,"$40,865,953 ",-42.10%,1063.50%,28,Spider-Man: No Way Home,"$37,138,318 "
19-Dec,Sunday,353,"$70,605,790 ",-13.90%,507.70%,30,Spider-Man: No Way Home,"$64,232,578 "
18-Dec,Saturday,352,"$82,033,791 ",-35.90%,373.70%,30,Spider-Man: No Way Home,"$73,941,279 "
17-Dec,Friday,351,"$128,026,878 ",4761%,982.50%,30,Spider-Man: No Way Home,"$121,964,712 "
16-Dec,Thursday,350,"$2,633,738 ",-26.60%,-32.80%,33,Encanto,"$734,586 "
