Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNS13000000,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series title:,(Seas) Unemployment Level,,,,,,,,,,,
Labor force status:,Unemployed,,,,,,,,,,,
Type of data:,Number in thousands,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Years:,2013 to 2023,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,12471,11950,11689,11760,11654,11751,11335,11279,11270,11136,10787,10404
2014,10202,10349,10380,9702,9859,9460,9608,9599,9262,8990,9090,8717
2015,8885,8599,8515,8550,8834,8247,8167,7992,7907,7922,8000,7907
2016,7627,7702,7961,8067,7652,7744,7641,7784,7953,7811,7553,7521
2017,7468,7379,7073,7089,7000,6873,6892,7082,6854,6700,6774,6632
2018,6489,6581,6472,6459,6196,6447,6195,6156,6073,6211,6115,6389
2019,6439,6115,6182,5911,5941,5909,6008,5981,5775,5957,5911,5870
2020,5804,5708,7184,23050,20939,17624,16324,13521,12599,11090,10760,10795
2021,10155,9982,9712,9737,9257,9508,8704,8324,7677,7345,6780,6329
2022,6511,6272,5972,5968,5979,5945,5718,6021,5770,6053,6000,5722
2023,5694,,,,,,,,,,,
