,,,,,,,,
,,,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,,,
Daily,,,,,,,,
WeekendWeeklyMonthlyQuarterlyYearlySeasonsHolidays,,,,,,,,
Daily Box Office For 2020,,,,,,,,
Year,,,,,,,,
,,,,,,,,
2020,,,,,,,,
"Data as of Jul 11, 1:36 PDT",,,,,,,,
Date,Day,Day #,Top 10 Gross,%± YD,%± LW,Releases,#1 Release,Gross
31-Dec,Thursday,366,"$2,915,033 ",-93%,-91.90%,17,Wonder Woman 1984,"$1,378,106 "
COVID-19 Pandemic,,,,,,,,
New Year's Eve,,,,,,,,
30-Dec,Wednesday,365,"$2,876,460 ",-6.10%,209%,16,Wonder Woman 1984,"$1,451,131 "
COVID-19 Pandemic,,,,,,,,
29-Dec,Tuesday,364,"$3,063,773 ",-0.70%,224.30%,17,Wonder Woman 1984,"$1,655,240 "
COVID-19 Pandemic,,,,,,,,
28-Dec,Monday,363,"$3,085,353 ",-41.80%,298.60%,17,Wonder Woman 1984,"$1,822,877 "
COVID-19 Pandemic,,,,,,,,
27-Dec,Sunday,362,"$5,302,360 ",-36.90%,183%,27,Wonder Woman 1984,"$3,408,342 "
COVID-19 Pandemic,,,,,,,,
26-Dec,Saturday,361,"$8,403,557 ",-16.60%,210.80%,27,Wonder Woman 1984,"$5,811,188 "
COVID-19 Pandemic,,,,,,,,
25-Dec,Friday,360,"$10,074,446 ",1187.50%,360.30%,27,Wonder Woman 1984,"$7,482,427 "
COVID-19 Pandemic,,,,,,,,
Christmas Day,,,,,,,,
24-Dec,Thursday,359,"$782,482 ",-16%,144.70%,15,The Croods: A New Age,"$348,215 "
COVID-19 Pandemic,,,,,,,,
23-Dec,Wednesday,358,"$930,994 ",-1.50%,190%,17,The Croods: A New Age,"$416,835 "
COVID-19 Pandemic,,,,,,,,
22-Dec,Tuesday,357,"$944,706 ",22.10%,131.60%,17,The Croods: A New Age,"$420,110 "
COVID-19 Pandemic,,,,,,,,
21-Dec,Monday,356,"$773,974 ",-58.70%,164.10%,17,The Croods: A New Age,"$323,075 "
COVID-19 Pandemic,,,,,,,,
20-Dec,Sunday,355,"$1,873,323 ",-30.70%,25.40%,25,The Croods: A New Age,"$647,765 "
COVID-19 Pandemic,,,,,,,,
19-Dec,Saturday,354,"$2,703,842 ",23.50%,5.40%,27,The Croods: A New Age,"$884,055 "
COVID-19 Pandemic,,,,,,,,
18-Dec,Friday,353,"$2,188,535 ",584.50%,41.70%,27,Monster Hunter,"$824,964 "
COVID-19 Pandemic,,,,,,,,
17-Dec,Thursday,352,"$319,712 ",-0.40%,-25.80%,16,The Croods: A New Age,"$180,710 "
COVID-19 Pandemic,,,,,,,,
16-Dec,Wednesday,351,"$321,048 ",-21.30%,-19.50%,16,The Croods: A New Age,"$170,225 "
COVID-19 Pandemic,,,,,,,,
15-Dec,Tuesday,350,"$407,983 ",39.20%,-22.70%,16,The Croods: A New Age,"$217,325 "
COVID-19 Pandemic,,,,,,,,
14-Dec,Monday,349,"$293,095 ",-80.40%,-22.10%,15,The Croods: A New Age,"$150,370 "
COVID-19 Pandemic,,,,,,,,
13-Dec,Sunday,348,"$1,494,353 ",-41.70%,-23.70%,25,The Croods: A New Age,"$847,930 "
COVID-19 Pandemic,,,,,,,,
12-Dec,Saturday,347,"$2,565,080 ",66%,-24.30%,25,The Croods: A New Age,"$1,435,040 "
COVID-19 Pandemic,,,,,,,,
11-Dec,Friday,346,"$1,544,909 ",258.60%,-26%,25,The Croods: A New Age,"$777,565 "
COVID-19 Pandemic,,,,,,,,
10-Dec,Thursday,345,"$430,841 ",8%,-20.30%,18,The Croods: A New Age,"$230,115 "
COVID-19 Pandemic,,,,,,,,
