date,top10gross,num_releases,num1gross
2020-12-31,2915033,17,1378106
2020-12-30,2876460,16,1451131
2020-12-29,3063773,17,1655240
2020-12-28,3085353,17,1822877
2020-12-27,5302360,27,3408342
2020-12-26,8403557,27,5811188
2020-12-25,10074446,27,7482427
2020-12-24,782482,15,348215
2020-12-23,930994,17,416835
2020-12-22,944706,17,420110
2020-12-21,773974,17,323075
2020-12-20,1873323,25,647765
2020-12-19,2703842,27,884055
2020-12-18,2188535,27,824964
2020-12-17,319712,16,180710
2020-12-16,321048,16,170225
2020-12-15,407983,16,217325
2020-12-14,293095,15,150370
2020-12-13,1494353,25,847930
2020-12-12,2565080,25,1435040
2020-12-11,1544909,25,777565
2020-12-10,430841,18,230115
2020-12-09,398932,19,209880
2020-12-08,527922,20,279625
2020-12-07,376179,21,190220
2020-12-06,1958290,27,1240730
2020-12-05,3388787,27,2053380
2020-12-04,2087988,27,1145745
2020-12-03,540311,20,340835
2020-12-02,535950,20,332730
2020-12-01,762119,19,512065
2020-11-30,633019,20,440325
2020-11-29,2983792,27,2201600
2020-11-28,5067022,28,3614945
2020-11-27,5179533,28,3907655
2020-11-26,3418542,28,2669640
2020-11-25,2448042,33,1880615
2020-11-24,602537,21,146675
2020-11-23,457926,22,119060
2020-11-22,1337629,27,306260
2020-11-21,2403430,27,567445
2020-11-20,1652573,27,407445
2020-11-19,495088,23,153825
2020-11-18,509806,23,165890
2020-11-17,726133,23,242345
2020-11-16,652469,23,209880
2020-11-15,2332485,29,716430
2020-11-14,4536693,29,1397115
2020-11-13,3485916,30,1486810
2020-11-12,616223,30,194235
2020-11-11,1062259,29,311155
2020-11-10,963180,30,359795
2020-11-09,646690,30,221810
2020-11-08,2525071,31,900420
2020-11-07,4732289,32,1620470
2020-11-06,3467054,32,1479580
2020-11-05,593917,31,160220
2020-11-04,581146,29,177115
2020-11-03,725084,30,223545
2020-11-02,674031,29,251070
2020-11-01,2290150,35,694600
2020-10-31,3477783,35,1331245
2020-10-30,2953670,36,1094030
2020-10-29,613914,32,168882
2020-10-28,603797,31,161502
2020-10-27,760595,33,222149
2020-10-26,551771,33,152433
2020-10-25,2415270,37,580517
2020-10-24,4152397,37,1055487
2020-10-23,3045522,37,718018
2020-10-22,614627,36,212620
2020-10-21,823036,36,230188
2020-10-20,878004,35,340599
2020-10-19,637452,35,227512
2020-10-18,2796889,39,816962
2020-10-17,4993067,38,1472004
2020-10-16,3819396,39,1319000
2020-10-15,533835,27,205210
2020-10-14,557938,27,193671
2020-10-13,720500,27,306958
2020-10-12,947508,29,424613
2020-10-11,2511586,30,958461
2020-10-10,4114232,30,1563319
2020-10-09,2902858,29,1102100
2020-10-08,608495,23,274162
2020-10-07,572629,24,260881
2020-10-06,678210,24,292044
2020-10-05,525167,24,228701
2020-10-04,1965913,26,648409
2020-10-03,3695766,26,1246825
2020-10-02,2447709,26,768968
2020-10-01,743374,23,335988
2020-09-30,684146,23,296594
2020-09-29,791716,23,344118
2020-09-28,719331,23,305051
2020-09-27,2126402,24,815014
2020-09-26,3618763,24,1478435
2020-09-25,2792641,24,1054891
2020-09-24,976980,18,427566
2020-09-23,964078,17,409102
2020-09-22,1166869,16,509070
2020-09-21,923299,17,405744
2020-09-20,2491638,17,1078259
2020-09-19,4668356,17,2085566
2020-09-18,3288717,17,1404645
2020-09-17,947979,13,575671
2020-09-16,1164614,14,605553
2020-09-15,1338079,13,694845
2020-09-14,1061937,13,560801
2020-09-13,2993016,13,1628187
2020-09-12,5575196,14,2990971
2020-09-11,3768135,13,1984309
2020-09-10,1310844,9,766230
2020-09-09,1348474,9,798409
2020-09-08,1507231,9,926646
2020-09-07,3646518,13,2275661
2020-09-06,5214636,10,2980584
2020-09-05,6161246,10,3566279
2020-09-04,4650134,10,2806227
2020-09-03,5804575,11,4986442
2020-09-02,786209,10,393751
2020-09-01,900031,10,466916
2020-08-31,834934,11,450293
2020-08-30,2765828,13,1470652
2020-08-29,4636940,12,2452864
2020-08-28,4914454,13,3113501
2020-08-27,456524,8,280515
2020-08-26,434748,8,272806
2020-08-25,617438,8,371315
2020-08-24,457695,8,291202
2020-08-23,1361545,9,1030000
2020-08-22,2083874,8,1556113
2020-08-21,1883138,9,1414648
2020-08-20,160002,11,138558
2020-08-19,155244,11,135647
2020-08-18,245801,11,226142
2020-08-17,160915,11,140830
2020-08-16,267986,13,231985
2020-08-15,370529,13,295755
2020-08-14,395703,13,338084
2020-08-13,40751,10,19666
2020-08-12,44720,9,23457
2020-08-11,42080,10,20956
2020-08-10,39239,10,19740
2020-08-09,73112,12,30922
2020-08-08,135117,12,58820
2020-08-07,232174,13,115000
2020-08-06,84275,9,49257
2020-08-05,69445,9,42682
2020-08-04,64071,9,39362
2020-08-03,56071,9,33041
2020-08-02,127582,10,70228
2020-08-01,209239,10,109791
2020-07-31,204589,10,110253
2020-07-30,92346,6,56427
2020-07-29,67572,6,42584
2020-07-28,80466,6,50365
2020-07-27,70939,6,45283
2020-07-26,163427,7,98500
2020-07-25,202049,7,122666
2020-07-24,294330,7,182686
2020-07-23,39271,6,23180
2020-07-22,38979,6,23789
2020-07-21,33788,6,20321
2020-07-20,35607,7,22862
2020-07-19,60292,7,38174
2020-07-18,108064,7,68269
2020-07-17,91708,7,57731
2020-07-16,41470,6,27505
2020-07-15,38179,6,25210
2020-07-14,43358,6,27231
2020-07-13,45876,7,27052
2020-07-12,91330,8,48067
2020-07-11,147616,8,76115
2020-07-10,138808,8,71492
2020-07-09,56090,9,43016
2020-07-08,53780,9,38686
2020-07-07,51076,9,36293
2020-07-06,52052,9,35049
2020-07-05,83764,9,52352
2020-07-04,74261,9,48259
2020-07-03,137008,9,91741
2020-07-02,59761,7,19978
2020-07-01,51909,7,18507
2020-06-30,45434,7,14449
2020-06-29,54011,7,19340
2020-06-28,81583,7,24434
2020-06-27,79149,7,27481
2020-06-26,103182,7,37294
2020-06-25,82331,8,26415
2020-06-24,71652,8,26422
2020-06-23,69172,8,24300
2020-06-22,60480,8,19684
2020-06-21,81136,8,28630
2020-06-20,185069,8,66232
2020-06-19,165994,8,57963
2020-06-18,65307,6,24484
2020-06-17,56967,6,28587
2020-06-16,62598,6,24505
2020-06-15,53846,6,20673
2020-06-14,105878,6,37651
2020-06-13,222458,6,88998
2020-06-12,188412,6,77077
2020-06-11,65804,6,38039
2020-06-10,68306,7,25488
2020-06-09,48831,6,26601
2020-06-08,40474,6,20939
2020-06-07,105840,6,56853
2020-06-06,175477,6,92206
2020-06-05,129426,6,68854
2020-06-04,17655,5,17343
2020-06-03,13322,5,13112
2020-06-02,10630,5,10236
2020-06-01,10501,5,10210
2020-05-31,34151,5,33868
2020-05-30,78500,5,78255
2020-05-29,63815,5,63514
2020-05-28,20549,3,20462
2020-05-27,18243,3,18141
2020-05-26,19811,3,19728
2020-05-25,21831,6,20046
2020-05-24,62268,3,61648
2020-05-23,85161,3,84445
2020-05-22,71115,3,70195
2020-05-21,17868,3,14401
2020-05-20,20459,2,16124
2020-05-19,18916,3,14885
2020-05-18,15884,3,12625
2020-05-17,27383,3,20958
2020-05-16,52267,3,38774
2020-05-15,44498,3,32243
2020-05-14,13169,4,11267
2020-05-13,15894,4,14043
2020-05-12,13062,3,11658
2020-05-11,11672,4,9695
2020-05-10,15261,4,12806
2020-05-09,39563,4,32653
2020-05-08,29655,4,24149
2020-05-07,8969,2,8345
2020-05-06,9050,2,8315
2020-05-05,6448,2,5966
2020-05-04,7739,2,7152
2020-05-03,15331,2,12605
2020-05-02,32447,2,26797
2020-05-01,31712,2,26506
2020-04-30,2009,2,1769
2020-04-29,1393,2,1156
2020-04-28,1464,2,1224
2020-04-27,1303,2,1042
2020-04-26,2455,2,1906
2020-04-25,5804,2,4868
2020-04-24,3803,2,3065
2020-04-23,1410,2,705
2020-04-22,414,2,207
2020-04-21,1200,2,600
2020-04-20,522,2,261
2020-04-19,1980,2,990
2020-04-18,1967,3,909
2020-04-17,1298,3,591
2020-04-16,726,2,363
2020-04-15,204,2,102
2020-04-14,672,2,336
2020-04-13,552,2,276
2020-04-12,564,2,282
2020-04-11,1164,2,582
2020-04-10,1395,2,846
2020-04-09,297,1,297
2020-04-08,279,1,279
2020-04-07,174,1,174
2020-04-06,126,1,126
2020-04-05,141,1,141
2020-04-04,582,1,582
2020-04-03,471,1,471
2020-03-27,192,1,192
2020-03-26,24,2,24
2020-03-25,173,2,173
2020-03-24,4,1,4
2020-03-23,12,1,12
2020-03-22,24,1,24
2020-03-21,106,1,106
2020-03-20,110,1,110
2020-03-19,143641,37,33296
2020-03-18,246568,39,61529
2020-03-17,1321687,41,346334
2020-03-16,3234151,47,753347
2020-03-15,11892439,51,2687350
2020-03-14,19710626,50,4675724
2020-03-13,17977298,52,3993234
2020-03-12,5321431,54,1872846
2020-03-11,6545990,55,2202553
2020-03-10,11097904,54,4053912
2020-03-09,6938657,55,2509515
2020-03-08,24181349,55,10508942
2020-03-07,39626466,55,16514193
2020-03-06,26596044,55,12096726
2020-03-05,5173922,54,1808145
2020-03-04,5814048,53,1997250
2020-03-03,9770097,53,3456185
2020-03-02,5723972,54,2076325
2020-03-01,22824096,54,7030015
NA,36566868,56,11195770
2020-02-28,24107105,55,9979880
2020-02-27,5570828,57,1477710
2020-02-26,7720801,56,2583834
2020-02-25,9552830,58,3224918
2020-02-24,5494739,55,1707315
2020-02-23,23750435,56,7871248
2020-02-22,37850558,56,11961933
2020-02-21,25212722,55,8049028
2020-02-20,6824080,53,2551581
2020-02-19,7177085,53,2665678
2020-02-18,12723158,53,5082338
2020-02-17,23909360,54,11983726
2020-02-16,37275206,53,16541359
2020-02-15,49931558,51,20552625
2020-02-14,52807102,51,20924364
2020-02-13,5542278,43,1780686
2020-02-12,5518611,45,1826055
2020-02-11,9166787,45,3381368
2020-02-10,6019469,43,2160176
2020-02-09,21392865,46,7851604
2020-02-08,34783042,47,12193732
2020-02-07,24955936,45,12964681
2020-02-06,4956835,44,1139042
2020-02-05,5350307,47,1330990
2020-02-04,8578443,46,2284757
2020-02-03,5263181,48,1507928
2020-02-02,11085633,49,2823509
2020-02-01,34327451,50,9674093
2020-01-31,19449993,50,5185357
2020-01-30,6914416,48,1968791
2020-01-29,6989955,49,1978354
2020-01-28,11655746,50,3546220
2020-01-27,7159640,52,2227287
2020-01-26,29370097,48,9570111
2020-01-25,47613907,49,15453880
2020-01-24,28191638,49,8987723
2020-01-23,9264156,49,3510912
2020-01-22,9825130,50,3673413
2020-01-21,16627732,49,6425896
2020-01-20,34640444,56,10529839
2020-01-19,44445163,51,17185773
2020-01-18,57594448,49,21716950
2020-01-17,46818973,48,23601382
2020-01-16,9749145,49,3055675
2020-01-15,10924283,50,3399885
2020-01-14,15364359,48,5288640
2020-01-13,8794486,49,3151305
2020-01-12,31796959,48,9294845
2020-01-11,48273391,48,13742670
2020-01-10,37397262,49,13962685
2020-01-09,8206082,50,2165596
2020-01-08,9214776,49,2403487
2020-01-07,15049864,50,3981109
2020-01-06,11385553,50,2978242
2020-01-05,33304942,53,9166472
2020-01-04,53199800,51,14319903
2020-01-03,44715346,50,11038440
2020-01-02,31762542,54,9274735
2020-01-01,53187474,54,17076472
